epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,147.705,1.27552,2.36823,1.60917,0.52647,0.31114,0.33544,0.15159,1.73405,2.64804,2.12112,0.00997585,0.00332528,0.00997585,0.00332528,0.00997585,0.00332528,0.00997585,0.00332528
2,255.889,1.21316,1.51109,1.53656,0.52694,0.46112,0.43724,0.23857,1.44194,1.7398,1.80278,0.0197781,0.00659269,0.0197781,0.00659269,0.0197781,0.00659269,0.0197781,0.00659269
3,355.582,1.25394,1.37468,1.5572,0.66994,0.43391,0.46814,0.2316,1.79784,1.86478,2.22557,0.0293823,0.00979411,0.0293823,0.00979411,0.0293823,0.00979411,0.0293823,0.00979411
4,452.018,1.28021,1.28618,1.56534,0.54258,0.54233,0.55675,0.31056,1.33761,1.32353,1.71136,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,548.066,1.23583,1.19156,1.53233,0.83955,0.48225,0.53866,0.31148,1.26327,1.15041,1.63987,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,644.21,1.19803,1.1195,1.49769,0.6707,0.63048,0.65785,0.3725,1.2645,0.93994,1.62481,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,739.998,1.17177,1.06009,1.48114,0.8696,0.57099,0.67612,0.38939,1.19506,0.89392,1.53778,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,835.909,1.13064,0.99731,1.44892,0.72982,0.67296,0.67153,0.40884,1.15954,0.78542,1.49269,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,931.699,1.11483,0.97233,1.43455,0.62199,0.66973,0.66269,0.389,1.18767,0.85824,1.51731,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1027.76,1.09961,0.93448,1.42728,0.71009,0.71088,0.70672,0.42731,1.13959,0.7296,1.46229,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1123.51,1.09167,0.91615,1.4154,0.73069,0.70988,0.70104,0.41138,1.1661,0.79293,1.49749,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1219.1,1.07317,0.88952,1.4027,0.66617,0.7439,0.70642,0.44349,1.07723,0.67397,1.40984,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1315.05,1.05717,0.87032,1.39092,0.66124,0.72666,0.71857,0.43384,1.10477,0.73079,1.41555,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1411.36,1.05129,0.86059,1.38652,0.70944,0.75257,0.73507,0.45271,1.065,0.6777,1.38185,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1507.15,1.03223,0.84859,1.38205,0.72405,0.72826,0.71707,0.45068,1.06283,0.67436,1.38762,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1603.58,1.03905,0.83671,1.37475,0.74512,0.7517,0.73752,0.45453,1.07093,0.65079,1.37803,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
